delta_f,delta_tau,mf_solar,final_spin
-0.021888891,0.040210688,55.5,0.7
0.058295998,0.03035834,55.5,0.7
0.0094298945,-0.1009837,55.5,0.7
0.0097299586,0.0073973582,55.5,0.7
-0.019397446,-0.031242895,55.5,0.7
-0.024628637,0.023486747,55.5,0.7
-0.014921411,0.033649823,55.5,0.7
-0.022804198,-0.076277808,55.5,0.7
-0.033166989,-0.037117617,55.5,0.7
-0.039267051,0.017339552,55.5,0.7
-0.0012703351,-0.048470593,55.5,0.7
0.028457297,0.018944311,55.5,0.7
0.051407439,-0.025614083,55.5,0.7
0.015980699,-0.024696864,55.5,0.7
-0.0098136681,0.066480905,55.5,0.7
0.011743585,0.0093003234,55.5,0.7
0.044269082,-0.0098636604,55.5,0.7
-0.0023513574,0.10750577,55.5,0.7
0.023675295,0.00029692504,55.5,0.7
0.0053370171,0.013890954,55.5,0.7
-0.0021593164,0.015328153,55.5,0.7
-0.022884448,0.19402542,55.5,0.7
0.015206217,0.056157025,55.5,0.7
-0.03061708,0.060925359,55.5,0.7
-0.035776303,-0.014836039,55.5,0.7
0.0042163421,0.066913687,55.5,0.7
